ell,PP,PT,PE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.784601057819291558e-08,2.867388340064266038e-03,-1.159001589188502252e-05
3.000000000000000000e+00,5.822683458583201019e-08,2.865362595628069206e-03,-1.247935058293595954e-05
4.000000000000000000e+00,6.707206736456099346e-08,2.793860603618709710e-03,-1.061861003879026444e-05
5.000000000000000000e+00,7.472318082230671015e-08,2.697322848176780374e-03,-7.287558373122077767e-06
6.000000000000000000e+00,8.141370642416655410e-08,2.593102242702005969e-03,-3.608087909025202508e-06
7.000000000000000000e+00,8.730640484309958843e-08,2.489587342804659362e-03,-4.414890956341204865e-07
8.000000000000000000e+00,9.252016188625677888e-08,2.389210821204028508e-03,1.699868300489412899e-06
9.000000000000000000e+00,9.715305243243959501e-08,2.292944597560499231e-03,2.651896637636621016e-06
1.000000000000000000e+01,1.012855468067631269e-07,2.202730705178775582e-03,2.534334489955535421e-06
1.100000000000000000e+01,1.049816481390723282e-07,2.119740845563055937e-03,1.675198855839746817e-06
1.200000000000000000e+01,1.082916223009261692e-07,2.042936569906701662e-03,5.167271220119554312e-07
1.300000000000000000e+01,1.112589367165164032e-07,1.970831446171295801e-03,-5.249315214933667689e-07
1.400000000000000000e+01,1.139212903605559038e-07,1.902367671352129348e-03,-1.195751408772200944e-06
1.500000000000000000e+01,1.163107749631841293e-07,1.837158932011003507e-03,-1.439613987404628243e-06
1.600000000000000000e+01,1.184539147911462317e-07,1.774897532168038692e-03,-1.325266669648958893e-06
1.700000000000000000e+01,1.203743651639082508e-07,1.715266790387958871e-03,-9.640473279770483208e-07
1.800000000000000000e+01,1.220924396317985236e-07,1.658428176900426151e-03,-4.929304811035108195e-07
1.900000000000000000e+01,1.236263865392883764e-07,1.604352247709041942e-03,-8.376812089253891681e-08
2.000000000000000000e+01,1.249923335552049263e-07,1.553823563910318147e-03,9.133104702561269886e-08
2.100000000000000000e+01,1.262045463752276332e-07,1.506602233227556089e-03,1.474304101115578943e-08
2.200000000000000000e+01,1.272763353873183935e-07,1.462091091813003162e-03,-2.646264067238573040e-07
2.300000000000000000e+01,1.282188169733420627e-07,1.419540772931420641e-03,-5.932017828143236023e-07
2.400000000000000000e+01,1.290423094235341365e-07,1.378420029652668768e-03,-8.268242874323466613e-07
2.500000000000000000e+01,1.297560508505547614e-07,1.339173443916618668e-03,-9.580037566986141882e-07
2.600000000000000000e+01,1.303687986191688581e-07,1.302224444550576302e-03,-1.008931958028503590e-06
2.700000000000000000e+01,1.308878023217027927e-07,1.266939738814280500e-03,-9.855563009618660681e-07
2.800000000000000000e+01,1.313199716943264475e-07,1.232645266014881875e-03,-8.924732119158928595e-07
2.900000000000000000e+01,1.316716292047975255e-07,1.199516365851354717e-03,-7.451577872046297691e-07
3.000000000000000000e+01,1.319488608975277122e-07,1.167873458364761339e-03,-5.759176286520817066e-07
3.100000000000000000e+01,1.321569186780632188e-07,1.137766091788657312e-03,-4.737109665625529432e-07
3.200000000000000000e+01,1.323007989791330523e-07,1.109168282518857053e-03,-5.142735791614863794e-07
3.300000000000000000e+01,1.323849171838148521e-07,1.082013563852229172e-03,-6.655327521361684160e-07
3.400000000000000000e+01,1.324135614628852211e-07,1.056145104061233459e-03,-8.623149343469521611e-07
3.500000000000000000e+01,1.323904933433492501e-07,1.031077793165323386e-03,-1.013785517867342274e-06
3.600000000000000000e+01,1.323193548443335547e-07,1.006433101477251669e-03,-1.051322399736841413e-06
3.700000000000000000e+01,1.322034233363761148e-07,9.825732633257356057e-04,-1.019564597758106298e-06
3.800000000000000000e+01,1.320458103545848685e-07,9.599101215931729386e-04,-9.793163137280177009e-07
3.900000000000000000e+01,1.318493164951097230e-07,9.383159403433033365e-04,-9.438655458228131320e-07
4.000000000000000000e+01,1.316166409798028977e-07,9.175304253298095184e-04,-9.146468330249109750e-07
4.100000000000000000e+01,1.313504573718484284e-07,8.973434058753507886e-04,-8.933912843247567006e-07
4.200000000000000000e+01,1.310528760456650574e-07,8.777388282327248936e-04,-8.830232106091953859e-07
4.300000000000000000e+01,1.307258731528516395e-07,8.587491713102464929e-04,-8.867585471117319085e-07
4.400000000000000000e+01,1.303714645668641595e-07,8.404076385407861565e-04,-9.078063105017835181e-07
4.500000000000000000e+01,1.299917525372250788e-07,8.227479154901580494e-04,-9.493692341730351307e-07
4.600000000000000000e+01,1.295886023186499786e-07,8.057867846901341181e-04,-1.011852319202840402e-06
4.700000000000000000e+01,1.291636038246898264e-07,7.894748555288613745e-04,-1.084505261338730675e-06
4.800000000000000000e+01,1.287181597954712684e-07,7.737460416280850543e-04,-1.153820739319120535e-06
4.900000000000000000e+01,1.282536496368125273e-07,7.585349055337237958e-04,-1.206326671037510296e-06
5.000000000000000000e+01,1.277715480489874250e-07,7.437764342321189328e-04,-1.228582482053899417e-06
5.100000000000000000e+01,1.272732784888989801e-07,7.294191996961538497e-04,-1.212430019992804963e-06
5.200000000000000000e+01,1.267598636268625458e-07,7.154636633959510781e-04,-1.170727549812768087e-06
5.300000000000000000e+01,1.262324526486453242e-07,7.019242525963816743e-04,-1.121550441662899518e-06
5.400000000000000000e+01,1.256920450877136127e-07,6.888148861073918302e-04,-1.082933016624598024e-06
5.500000000000000000e+01,1.251396954960850681e-07,6.761498095742077144e-04,-1.072873604047128591e-06
