ell,PP,PT,PE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.890868173816112145e-08,2.892008705837481077e-03,-1.165406149323386740e-05
3.000000000000000000e+00,5.951907125180570766e-08,2.914565161925256227e-03,-1.240570279448833847e-05
4.000000000000000000e+00,6.855431189094217853e-08,2.853157387534973992e-03,-1.038253327889469118e-05
5.000000000000000000e+00,7.636336677822888230e-08,2.760317716047543286e-03,-6.933201231143009526e-06
6.000000000000000000e+00,8.318582351929127749e-08,2.657123273438239449e-03,-3.221385613667121022e-06
7.000000000000000000e+00,8.918903381287124099e-08,2.553281737001342460e-03,-1.179364062948200298e-07
8.000000000000000000e+00,9.449537887209794406e-08,2.451631753010565917e-03,1.886543031518508453e-06
9.000000000000000000e+00,9.920571181571025676e-08,2.353344757517758859e-03,2.671857544212044040e-06
1.000000000000000000e+01,1.034026868937119689e-07,2.260786711248787603e-03,2.407597172579230297e-06
1.100000000000000000e+01,1.071520888855573098e-07,2.175472455834645547e-03,1.460939403309055597e-06
1.200000000000000000e+01,1.105056621683182333e-07,2.096429206983639777e-03,2.921468897134224695e-07
1.300000000000000000e+01,1.135080833768510162e-07,2.022014686700109899e-03,-6.882774626873398385e-07
1.400000000000000000e+01,1.161980722372672585e-07,1.951073561783954425e-03,-1.252227773193998820e-06
1.500000000000000000e+01,1.186086101019553060e-07,1.883307222186932344e-03,-1.381590052557320312e-06
1.600000000000000000e+01,1.207669787362423199e-07,1.818577810781026559e-03,-1.182684376071740506e-06
1.700000000000000000e+01,1.226974899565733694e-07,1.756679507082768710e-03,-7.907312841274718804e-07
1.800000000000000000e+01,1.244210468479175484e-07,1.697796609249966780e-03,-3.454724513033148020e-07
1.900000000000000000e+01,1.259564037559488995e-07,1.641794402672524470e-03,-2.694304851096580917e-09
2.000000000000000000e+01,1.273201263510846333e-07,1.589480189272909731e-03,9.141328613365113628e-08
2.100000000000000000e+01,1.285268692858718707e-07,1.540588794592504494e-03,-5.571455249092638875e-08
2.200000000000000000e+01,1.295903072379505466e-07,1.494472810135752915e-03,-3.741327205286558106e-07
2.300000000000000000e+01,1.305218555376986714e-07,1.450325577955281211e-03,-7.018937586194394500e-07
2.400000000000000000e+01,1.313321081848596955e-07,1.407579275061798373e-03,-8.942387051151789642e-07
2.500000000000000000e+01,1.320305442809861996e-07,1.366729368947635801e-03,-9.615049845396793142e-07
2.600000000000000000e+01,1.326261498912969274e-07,1.328264368320748474e-03,-9.480674809082276459e-07
2.700000000000000000e+01,1.331263725662428188e-07,1.291586935976208163e-03,-8.816484860099808776e-07
2.800000000000000000e+01,1.335383095049632942e-07,1.256041421373929731e-03,-7.830057036570001510e-07
2.900000000000000000e+01,1.338684434239966457e-07,1.221780317436571388e-03,-6.621226722182825681e-07
3.000000000000000000e+01,1.341230107601957905e-07,1.189090460251910871e-03,-5.392119913836451951e-07
3.100000000000000000e+01,1.343073906124704376e-07,1.157985035684242284e-03,-4.860912903343497930e-07
3.200000000000000000e+01,1.344267024081033005e-07,1.128410706280932440e-03,-5.626900300996360300e-07
3.300000000000000000e+01,1.344854820583970762e-07,1.100311667823565846e-03,-7.312309677377851567e-07
3.400000000000000000e+01,1.344881308541686718e-07,1.073539981881838946e-03,-9.244319054477175831e-07
3.500000000000000000e+01,1.344384851896107753e-07,1.047574642274266008e-03,-1.053639053254115876e-06
3.600000000000000000e+01,1.343402578921808652e-07,1.022009950242717784e-03,-1.055598196403902284e-06
3.700000000000000000e+01,1.341968106061128148e-07,9.972597862517008048e-04,-9.888164194069617602e-07
3.800000000000000000e+01,1.340113378538470093e-07,9.737924791920195234e-04,-9.270585116036442134e-07
3.900000000000000000e+01,1.337867034441743235e-07,9.514781686926211375e-04,-8.846295989074316624e-07
4.000000000000000000e+01,1.335256649350640486e-07,9.300399046718511213e-04,-8.610114252793278942e-07
4.100000000000000000e+01,1.332309524684165469e-07,9.092520360160888078e-04,-8.554289990569386659e-07
4.200000000000000000e+01,1.329047176669068022e-07,8.890874146934158850e-04,-8.660565101864147530e-07
4.300000000000000000e+01,1.325489745259602808e-07,8.695685557937629347e-04,-8.908139591320019673e-07
4.400000000000000000e+01,1.321657777327797754e-07,8.507187513235407988e-04,-9.276317992396081143e-07
4.500000000000000000e+01,1.317572698975811236e-07,8.325618196253773340e-04,-9.744496499845334380e-07
4.600000000000000000e+01,1.313253531582218401e-07,8.151074777970021860e-04,-1.028219485681304403e-06
4.700000000000000000e+01,1.308716485747364741e-07,7.983103715101559639e-04,-1.081925907032961470e-06
4.800000000000000000e+01,1.303975871787954846e-07,7.821112060753893308e-04,-1.127578377778766782e-06
4.900000000000000000e+01,1.299045766309240793e-07,7.664513264633771895e-04,-1.157206292090411946e-06
5.000000000000000000e+01,1.293941213655296198e-07,7.512724918845598704e-04,-1.162856776781535095e-06
5.100000000000000000e+01,1.288676721862291015e-07,7.365279854238105349e-04,-1.140396518996542299e-06
5.200000000000000000e+01,1.283262665331533933e-07,7.222147608945185017e-04,-1.100902183027582459e-06
5.300000000000000000e+01,1.277710682076922619e-07,7.083417081881511609e-04,-1.059223759216603750e-06
5.400000000000000000e+01,1.272030896871542967e-07,6.949172196562198364e-04,-1.030177898419695696e-06
5.500000000000000000e+01,1.266233993396764906e-07,6.819500320547626677e-04,-1.028552184359017208e-06
