ell,TT,EE,BB,TE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.250629747495799847e+03,2.829358341014107103e-02,1.721444367706786579e-06,3.009675142418065885e+00
3.000000000000000000e+00,1.198885905594323049e+03,3.587579664454542544e-02,3.443311833710455838e-06,3.313499784418140415e+00
4.000000000000000000e+00,1.145509216252478836e+03,3.067750580231238394e-02,5.739789964669758371e-06,3.066245393256120888e+00
5.000000000000000000e+00,1.104669660776322871e+03,2.019652371381287434e-02,8.611433700020145937e-06,2.587732831380612275e+00
6.000000000000000000e+00,1.076352346157392503e+03,1.117939434603941462e-02,1.205892884462283253e-05,2.074357555156139288e+00
7.000000000000000000e+00,1.057614613446940211e+03,6.046128733054272238e-03,1.608308688987092054e-05,1.628042219754415321e+00
8.000000000000000000e+00,1.045618348215661626e+03,3.949161430192586926e-03,2.068483897266827179e-05,1.291378136522544517e+00
9.000000000000000000e+00,1.039140106869475403e+03,3.186316509027314458e-03,2.586522886581002535e-05,1.070170885141301209e+00
1.000000000000000000e+01,1.036321866787263161e+03,2.704929737274788543e-03,3.162540523219185379e-05,9.486055489832379006e-01
1.100000000000000000e+01,1.035978288696256868e+03,2.273482334601221143e-03,3.796661308455798341e-05,9.051990261981954777e-01
1.200000000000000000e+01,1.038132524108240204e+03,2.000603899469902743e-03,4.489018457301512794e-05,9.173563532990438585e-01
1.300000000000000000e+01,1.041983035116077872e+03,1.941451423124821059e-03,5.239752914766750277e-05,9.636194053645430468e-01
1.400000000000000000e+01,1.046446013889976030e+03,2.031452488630479392e-03,6.049012327185324068e-05,1.027909412700423353e+00
1.500000000000000000e+01,1.051556702982606339e+03,2.197913797618324810e-03,6.916949966986074582e-05,1.099499202624981464e+00
1.600000000000000000e+01,1.057739837323562369e+03,2.437246744431534762e-03,7.843723618069313431e-05,1.174636259430327012e+00
1.700000000000000000e+01,1.064959647117133727e+03,2.787437993235697929e-03,8.829494452946545628e-05,1.253904819072244825e+00
1.800000000000000000e+01,1.071653174456633224e+03,3.275580831091399851e-03,9.874425881241296341e-05,1.336276109248857979e+00
1.900000000000000000e+01,1.080705798993950793e+03,3.911698179693157834e-03,1.097868239454676898e-04,1.427703503400266749e+00
2.000000000000000000e+01,1.089257692453021718e+03,4.674417336154255628e-03,1.214242843444205354e-04,1.523282687267339952e+00
